City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,santa marta de ortigueira,43.6833,-7.85,17.360000000000014,86,92,0.94,ES,1689837021
156,fort mcmurray,56.7268,-111.381,13.629999999999995,94,24,1.1,CA,1689837021
157,palapye,-22.546,27.1251,14.860000000000014,65,0,8.65,BW,1689837021
158,nabire,-3.3667,135.4833,28.840000000000032,75,85,1.67,ID,1689837022
159,longyearbyen,78.2186,15.6401,10.910000000000025,71,0,4.12,SJ,1689837022
160,belfast,54.5833,-5.9333,13.54000000000002,77,77,1.54,GB,1689836984
161,afaahiti,-17.75,-149.2833,22.930000000000007,68,13,9.17,PF,1689837022
162,la foa,-21.7108,165.8276,20.010000000000048,68,84,5.88,NC,1689837023
163,saldanha,-33.0117,17.9442,8.520000000000039,70,0,5.44,ZA,1689837023
164,khandyga,62.6667,135.6,27.80000000000001,38,37,0.31,RU,1689837023
165,tortosa,40.8125,0.5216,26.25,59,0,1.16,ES,1689836800
166,ankang,32.68,109.0172,34.210000000000036,51,83,0.66,CN,1689837024
167,usinsk,65.9939,57.5281,25.730000000000018,48,89,1.14,RU,1689836728
168,bethel,41.3712,-73.414,20.930000000000007,89,0,0.0,US,1689837024
169,kirensk,57.7853,108.1119,22.650000000000034,53,92,0.12,RU,1689837025
170,rio gallegos,-51.6226,-69.2181,2.8799999999999955,45,100,3.56,AR,1689837025
171,waltershausen,50.9,10.5667,18.150000000000034,85,35,3.52,DE,1689837025
172,sitka,57.0531,-135.33,13.939999999999998,82,75,0.0,US,1689837025
173,daru,-9.0763,143.2092,25.879999999999995,73,85,4.93,PG,1689837026
174,tarauaca,-8.1614,-70.7656,22.310000000000002,84,45,1.24,BR,1689836891
175,abashiri,44.0213,144.2697,18.390000000000043,86,7,2.19,JP,1689837026
176,bridgewater,44.3835,-64.5155,19.260000000000048,99,100,1.1,CA,1689837026
177,mana,5.6592,-53.7767,24.260000000000048,91,25,2.92,GF,1689837026
178,sinabang,2.4803,96.3801,26.390000000000043,81,100,1.41,ID,1689837027
179,pisco,-13.7,-76.2167,20.03000000000003,73,100,2.06,PE,1689837027
180,al qadarif,14.0349,35.3834,29.75,50,22,7.57,SD,1689837027
181,wailua homesteads,22.0669,-159.378,27.24000000000001,88,100,8.75,US,1689837028
182,geraldton,-28.7667,114.6,17.230000000000018,55,75,4.12,AU,1689837028
183,champerico,14.3,-91.9167,27.150000000000034,84,10,3.95,GT,1689837028
184,east london,-33.0153,27.9116,10.520000000000039,76,75,3.6,ZA,1689837028
185,tsiombe,-25.3,45.4833,23.350000000000023,64,55,2.63,MG,1689837029
186,mildura,-34.2,142.15,14.480000000000018,72,100,4.67,AU,1689837029
187,arvayheer,46.2639,102.775,22.07000000000005,34,26,1.45,MN,1689837029
188,kourou,5.1552,-52.6478,23.03000000000003,90,11,2.08,GF,1689837030
189,tamanrasset,22.785,5.5228,28.950000000000045,14,0,8.23,DZ,1689837030
190,opuwo,-18.0607,13.84,16.939999999999998,17,0,1.74,NA,1689837030
191,majene,-3.5403,118.9707,28.410000000000025,73,41,4.39,ID,1689837030
192,praia da vitoria,38.7333,-27.0667,20.980000000000018,92,100,1.79,PT,1689837031
193,qarazhal,48.0078,70.7903,29.890000000000043,25,5,7.94,KZ,1689837031
194,huilong,31.8111,121.655,27.180000000000007,92,100,6.39,CN,1689837031
195,archangelos,36.2149,28.1149,28.99000000000001,38,0,1.1,GR,1689837031
196,cove,7.221,2.3402,24.410000000000025,92,90,2.3,BJ,1689837032
197,lecheng,25.1238,113.3254,32.35000000000002,74,68,1.5,CN,1689837032
198,cidreira,-30.1811,-50.2056,15.170000000000016,78,99,9.02,BR,1689837032
199,vinales,22.6164,-83.7078,24.710000000000036,88,61,1.63,CU,1689836774
200,kisi,9.0833,3.85,22.78000000000003,94,74,3.7,NG,1689837033
201,susuman,62.7833,148.1667,24.670000000000016,45,85,2.82,RU,1689837034
202,talakag,8.2336,124.6003,26.890000000000043,85,91,1.32,PH,1689837034
203,whitby,54.4877,-0.615,15.080000000000041,77,0,1.79,GB,1689836859
204,puerto aysen,-45.4,-72.7,6.520000000000039,100,100,1.05,CL,1689837034
205,zavodoukovsk,56.5042,66.5515,24.28000000000003,58,15,2.6,RU,1689837035
206,vila franca do campo,37.7167,-25.4333,18.230000000000018,87,87,1.0,PT,1689837035
207,holualoa,19.6228,-155.9522,27.150000000000034,90,100,5.14,US,1689837035
208,sarangani,5.4033,125.4636,28.83000000000004,72,72,6.5,PH,1689837035
209,inarajan village,13.2736,144.7484,31.33000000000004,83,100,3.59,GU,1689837036
210,mawlaik,23.6333,94.4167,26.33000000000004,97,100,0.56,MM,1689837036
211,tazacorte,28.629,-17.9293,22.54000000000002,77,75,5.66,ES,1689837036
212,dudinka,69.4058,86.1778,21.52000000000004,61,88,4.91,RU,1689837036
213,am timan,11.0297,20.2827,22.49000000000001,86,100,4.26,TD,1689837037
214,ceerigaabo,10.6162,47.368,23.74000000000001,41,100,7.42,SO,1689837037
215,el dorado,38.7666,-120.5177,24.100000000000023,50,0,0.89,US,1689837037
216,cam ranh,11.9214,109.1591,31.980000000000018,70,20,5.66,VN,1689837037
217,mangrol,21.1167,70.1167,25.600000000000023,91,100,5.83,IN,1689837038
218,aykhal,66.0,111.5,20.150000000000034,42,100,7.8,RU,1689837038
219,al jawf,29.5,38.75,33.920000000000016,16,0,6.15,SA,1689837038
220,pizarro,4.9533,-77.366,26.80000000000001,90,99,2.35,CO,1689837039
221,nadym,65.5333,72.5167,28.400000000000034,45,40,5.74,RU,1689837039
222,kolonia,50.9333,6.95,18.75,77,75,3.6,DE,1689837039
223,avarua,-21.2078,-159.775,21.03000000000003,60,53,5.14,CK,1689837040
224,chabahar,25.2919,60.643,30.75,73,91,7.36,IR,1689837040
225,puerto el triunfo,13.2833,-88.55,26.82000000000005,75,53,1.77,SV,1689837040
226,kingston,17.997,-76.7936,27.360000000000014,77,82,0.45,JM,1689836975
